date,price
20040915,9942
20040916,9794
20040917,9485
20040921,9485
20040922,9382
20040924,9544
20040927,9897
20040928,9912
20040929,9927
20040930,9912
20041001,9868
20041004,9956
20041005,10000
20041006,9853
20041007,9927
20041008,9676
20041012,9897
20041013,9883
20041014,9956
20041015,10030
20041018,9942
20041019,9956
20041020,9883
20041021,8970
20041022,9028
20041025,9087
20041026,8999
20041027,9662
20041028,9618
20041029,10030
20041101,10295
20041102,10428
20041104,10295
20041105,10133
20041108,9927
20041109,10487
20041110,10413
20041111,10266
20041112,10280
20041115,10575
20041116,10325
20041117,10251
20041118,10192
20041119,10104
20041122,9721
20041124,9205
20041125,9367
20041126,9279
20041129,9397
20041130,9662
20041201,9618
20041202,9485
20041203,9514
20041206,9868
20041207,10177
20041208,9927
20041209,10000
20041210,10045
20041213,10089
20041214,9971
20041215,10045
20041216,10030
20041217,9986
20041220,10059
20041221,10074
20041222,10369
20041224,10177
20041227,10104
20041228,9971
20041229,10045
20041230,10619
20050104,10707
20050105,10472
20050106,10163
20050107,10104
20050111,10104
20050112,10221
20050113,10413
20050114,10310
20050117,10251
20050118,10148
20050119,10133
20050120,9971
20050121,9971
20050124,10221
20050125,10457
20050126,10295
20050127,10118
20050128,10074
20050131,10163
20050201,9942
20050202,9912
20050203,10059
20050204,9927
20050207,9809
20050208,9632
20050209,9721
20050210,9632
20050214,9883
20050215,9706
20050216,9912
20050217,9883
20050218,9956
20050221,10000
20050222,9809
20050223,9794
20050224,9765
20050225,9765
20050228,9647
20050301,9706
20050302,9514
20050303,9397
20050304,9235
20050307,9235
20050308,8970
20050309,8896
20050310,8911
20050311,8896
20050314,8925
20050315,9382
20050316,9367
20050317,9279
20050318,9220
20050322,9146
20050323,9308
20050324,9235
20050325,9161
20050328,8925
20050329,8984
20050330,9102
20050331,8955
20050401,8719
20050404,8542
20050405,8704
20050406,8881
20050407,8955
20050408,9058
20050411,9721
20050412,9780
20050413,9706
20050414,9706
20050415,9397
20050418,9529
20050419,9647
20050420,9573
20050421,9559
20050422,9780
20050425,9721
20050426,9838
20050427,9618
20050428,9529
20050502,9514
20050506,9205
20050509,9220
20050510,9382
20050511,9382
20050512,8999
20050513,9117
20050516,8911
20050517,9190
20050518,9456
20050519,9249
20050520,9043
20050523,8690
20050524,8660
20050525,8675
20050526,8542
20050527,8646
20050530,8557
20050531,8336
20050601,8366
20050602,8425
20050603,8395
20050606,8484
20050607,8778
20050608,8749
20050609,8808
20050610,8498
20050613,8380
20050614,8351
20050615,8336
20050616,8439
20050617,8351
20050620,8425
20050621,8763
20050622,8793
20050623,8896
20050624,8837
20050627,8970
20050628,8866
20050629,8896
20050630,9235
20050701,9028
20050704,9426
20050705,9603
20050706,9927
20050707,9986
20050708,9632
20050711,9485
20050712,9235
20050713,8984
20050714,8925
20050715,9190
20050719,9352
20050720,9456
20050721,9397
20050722,9161
20050725,8970
20050726,8911
20050727,8866
20050728,9132
20050729,9514
20050801,9485
20050802,9691
20050803,9794
20050804,9647
20050805,9588
20050808,9588
20050809,9456
20050810,9411
20050811,9397
20050812,9603
20050815,9529
20050816,9397
20050817,9456
20050818,9338
20050819,9294
20050822,9190
20050823,9087
20050824,9205
20050825,9456
20050826,9323
20050829,9588
20050830,10104
20050831,10177
20050901,10192
20050902,10339
20050905,10163
20050906,10089
20050907,9868
20050908,9853
20050909,9765
20050912,9809
20050913,9809
20050914,10015
20050915,9912
20050916,10339
20050920,10516
20050921,10516
20050922,10442
20050926,10428
20050927,10280
20050928,10266
20050929,10369
20050930,10251
20051003,10059
20051004,10059
20051005,10266
20051006,10604
20051007,10516
20051011,10310
20051012,10413
20051013,10619
20051014,10619
20051017,10707
20051018,10693
20051019,10678
20051020,10619
20051021,10766
20051024,10737
20051025,10560
20051026,10575
20051027,9500
20051028,9544
20051031,9382
20051101,9205
20051102,9146
20051104,9382
20051107,9382
20051108,9397
20051109,9411
20051110,9294
20051111,9382
20051114,9470
20051115,9500
20051116,8646
20051117,8704
20051118,8690
20051121,8484
20051122,8484
20051124,8498
20051125,8646
20051128,8174
20051129,8395
20051130,8587
20051201,8646
20051202,8322
20051205,8498
20051206,8719
20051207,8704
20051208,8528
